side,script
for," I want to thank Intelligence Squared and the Rosenkranz Foundation for organizing what I think will be a fun and lively evening. So, the resolution before us is that “Google Violates its ‘Don’t Do Evil’ Motto,” I think it’s important for us to frame that and understand what that means and what it doesn’t mean. The question isn’t whether Google is a great company.  I thought what Bob Rosenkranz said about it is exactly right, much to admire. The question isn’t whether Google does more good than evil. I think it does. That’s not the question either. The question’s whether we can identify certain things which they do which we think are important to how Google operates, that are inconsistent with that motto. And I think we can. So we should start where that motto comes from. When Google was going to become a public company it filed its registration statement, if you haven’t read those, they’re remarkably dull. Not Google’s. Google opens with an owner’s manual for future Google shareholders. Page and Brin say, we’re not an ordinary company, we’re not gonna be an ordinary company. Get ready for the ride.  Part of that is Google says, we’re gonna live by a motto, and that model is, is we’re not gonna be evil. Seemingly asking us to hold Google to a higher standard, they’re very clear. There’ll be times when they will sacrifice the short-run interests of Google for the public good. I don’t think what’s legal is the standard to evaluate for Google, Google asks us for something much more public-interested. Google then compares itself to newspapers. Well that’s interesting, right, they seem to be on diverging paths but I think they thought there was some sense of a public trust associated with newspapers, and we should hold Google to that as well. That’s what we’re gonna try to do tonight. My piece of this is I’m going to focus on the heart of Google’s business which is their advertising model. And I’m going to focus on the recent deal that was proposed between Google and Yahoo, where Yahoo was going to out-source a large chunk of its search-ad business to Google. I should say I consulted in connection with the opposition, so you can discount what I say as you wish. I should say we won, that’s good news, because that deal has gone away, the Department of Justice suggested that they were going to challenge the deal in court…that was something clearly Google didn’t want so they backed away from it. All right. Advertisers were opposed to the deal. Why were advertisers opposed. Advertisers believed that the deal and the core of the deal was if you think of search queries, there’s a lot of common queries, there’s a lot of unusual queries. The deal is going to out-source the long tail as it were, Chris Anderson’s term of queries, away from Yahoo to Google. Advertisers were upset about that.  Well, advertisers believed that prices were going to go up because of that. Google’s response to that was to say…we run auctions. We don’t set prices. Advertisers set prices. We’re just middlemen. That’s not right, and I think Google knows better. I should say, I’m a Google Ad Words advertiser, so if you’ve not looked at the system, the way it works, you can set an account up very easily, pay five dollars to do so… I’m advertising, I thought I should understand how Ad Words works, so I’m advertising a paper that I wrote on anti-trust and privacy and cloud computing. I’m not sure who the second click has been, um— Okay. But you see how that works. You can click, and go. But the nature of this is that you bid on keyword terms, if you win the auction your ads are supposed to show up. Now Google understands that how you design auctions matters, there’s a whole field of economics devoted to that. They gave William Vickery from Columbia a Nobel Prize for that. Google is designing its auctions in a way that takes advantage of its market power. Does that in three important ways. First, Google runs a system involving minimum bids. So cloud neutrality is one of the terms that I’m bidding on. You can run a search on cloud neutrality, I did yesterday. I know my ad is out there. It didn’t show up, indeed no ads showed up, and indeed if you look at the statistics, 50 percent of the time when you run a search on Google, and they produce results, the organic search results, there are no ads next to it. Even though if you believe the comments, and as I say I’m one of these Ad Words ad—Ad Words advertisers, my ad is out there waiting to be served and even though the search that has been done, if they don’t run an ad it’s an opportunity to show an ad which is lost forever. So there was a chance for Google to get money there and yet they’re not doing it. Why, because if very few people are bidding then I ought to be able to buy it for a very low price and Google’s interest is not served by that. Google wants to make sure that there’s a high enough minimum, they’ve been raising the minimums over time, such that Google meaningfully makes money on that. If you look at the blogs, people comment on this, they talk about bidding against the house, that’s what they have to do. And Google has changed the terms in which they do that.  That’s an exercise in market power. I should say under current US anti-trust law one of the things I do for a living, I don’t think that’s illegal.  Well, that’s the resolution for the house tonight. That’s one.  If you’re an auctioneer, the way you exercise market power, is you control the number of slots. Right, you don’t control prices, you control quantities. In Google’s case that means how many slots are available on the right-and side next to the organic search results. Google controls that. Now you might think in a competitive model that we’d have some relationship between the number of ads on Yahoo and the number of ads on Google. Indeed the central premise of the Yahoo-Google deal was that Google does a better job of ad matching than Yahoo does. We should therefore expect Google to have more ads than Yahoo, just the opposite. Again, market power being exercised, not illegal, evil, you decide. Finally, third point. Google engages in a kind of bundling, so Google also organizes search for Ask and AOL. You can buy Google alone, you can’t buy Ask and AOL alone. They are bundled together with Google. Right, advertisers would like to be able to advertise separately on those. Can’t do it, they won’t let you do that. Illegal under US law, EU law? Maybe, we’ll see.  Evil, mmm, I think you can conclude. Now, why should we care about this. The importance of advertising is the way that advertising supports paid content.  You should care a lot about the kind of content that’s out there, and to the extent that the middleman is making it more expensive for people to reach consumers, we’re going to have less content because producers are effectively going to get a lower chunk of the advertising dollars. I’ll stop there, thank you."
against,"Ladies and gentlemen, it takes a lawyer to know a lawyer. And as a lawyer I want to point out what my colleague just did at the beginning of his talk, he redefined the question. The question tonight is whether “Google Violates its ‘Don’t Do Evil’ Motto.” The question is whether Google is evil or not. And that’s what I want to talk to you about, and I want to urge you to vote no on the resolution. To find that Google is evil, you have to find that people who cut in line are evil. You have to find that, bruised apples are evil. You have to find that flat tires are evil. These things are not evil. Evil is Hitler. Evil is Stalin. Evil is Pol Pot. Evil is…Dr.  That’s somewhat definitional. Google is not evil. Now you have to make some sense of the term to understand these concepts, now...perhaps that phrase was intended in a sort of, “Let’s not be a greasy corporation” sense. Even by that standard, Google is not evil, Google is great. Google brings information and empowerment to the masses in ways we couldn’t have imagined just a few years ago. Try it now. Think about how you would you have found out information just a few years ago. It’s a little hard to remember for oldsters like me, but it was very hard. Today it’s much easier. Now there are lots of complaints about Google. Holders of copyrights, say Google’s making use of my copyrights and my property and da-da. In fact Google’s making that material more available and more valuable for copyright holders. Holders of trademarks complain precisely because Google is using trademarks in an appropriate way, in Ad Sense, allowing providers to compare their products with other products, bringing consumers lower prices, better products… This is good, this is not evil. Now surely Google should avoid censorship. And one of the toughest areas is the question of censorship. But the Chinese people are better off, with Google in China, slow-wokking their cooperation with the Chinese government, than having no Google in China, and leaving China to Baidu, and whatever local information sources are fully government-approved. On the question of privacy it’s true, that Gmail, Basic Search, Maps, Street View, all of these things, challenge privacy. All of these things are challenges to privacy, but no more than any other apps that are available similarly. This is not a case that Google is evil, perhaps it’s a case that the Internet is evil. But I don’t think anybody here thinks of the Internet as truly evil. Now, some say that Google’s monopoly on search, gives it so much power that this is inherently, somehow evil. Well, Google has a sizable percentage of the search market. I think that’s an admission I can make. But Google is a big company, that’s part of an information big bang, that’s far bigger. Google cannot control us finding out about things. Google cannot prevent criticisms of Google being made. Google’s a big player, but the market is much, much bigger than Google. There’s a more concerning evil, that I want to point you to, and I know none of you indulge this. But some people, who have problems with the way products and services are delivered, do nothing but complain. That’s the evil of apathy. If my colleagues at the far end of the table wish to characterize Google as evil, they should foreswear the use of Google products, and find the other products, which there are, and use those instead. Google’s not evil. In fact… Google’s not evil, Google’s Evel Knievel. Google’s high-flying…Google makes some mistakes. But Google is an American success story. Let me urge you once again, to vote no on the proposition. "
for," Thank you all for being here tonight, what a great audience, I have a very simple way of stating my case for the motion. And it’s a conclusion that’s based on some facts, facts are good, so here are a few facts. If you Google “Tibetan independence,” you’ll get back pointers to some sites, that advocate the freedom of Tibet from Chinese rule. Tibet.org, Friends of Tibet.org, sites associated with the Dalai Lama, and others. You’ll also get back some sites, that advocate against the freedom of Tibet from Chinese rule. That’s if you go home tonight, and use the version of Google that you have available to you in this country. But if you do it inside China, you won’t get references to Tibet.org, or Friends of Tibet.org, except perhaps, for references, to sites explaining that those are illegal and banned organizations. Or Epic Times, Epic Times is a Chinese newspaper, an uncensored Chinese newspaper. You can find it on the Internet, just Google Epic Times. But try to do that in China, and you will not find your way to Epic Times. Same thing with human rights if you Google that, or various spiritual practices. The world looks very different through the window that Google provides, in China, than through the window on the world that you have available to yourselves here. In fact, it’s not the picture window on the world, it’s a distorted lens that has been built, custom-built by Google to Chinese specifications. Now how did that happen. Google is the company, whose mission is to organize the world’s information, and to make it universally accessible and useful. How did it come to be in the business of creating the distorting lens, rather than the picture window on the world. Well, in 2004, Google was entering the international market, it wanted to be the number-one search engine in the world, it started to do business in China. And the Chinese said, we don’t want you to show our citizens the world as it really is, with all of its complexities, and its contradictions, and its inconsistent sources of information. We want the Chinese citizens to know the world the way we want them to know the world. And, Google said, okay, we’ll give them that world instead of the world as it really is. Their choice was, to accept the Chinese ultimatum, or to go home. They could’ve gone home, they didn’t, they stayed, and built the engine as the Chinese wanted it. Now it’s a wonderful product. I agree with everything that’s been said about what a wonderful product it is and what a wonderful company it is. But here it’s been turned from a wonderful product, that we know, into an instrument of thought control. Now some may weakly claim that it’s doing more good than harm… that the Chinese people are better off getting partial information via the Google search window than getting no information at all. That’s nonsense, there are other search warrants, through which you can get the censored truth, if that’s what you want people to provide. Google didn’t choose the lesser of two evils when faced with the Chinese ultimatum; it chose the more profitable of the two evils. And for that reason, you should vote for the proposition, that Google is violating its “Don’t be evil” motto. They had a simple choice that was put before them. I stopped a street vendor here in New York last week, who was selling Tibetan jewelry, he’s a Tibetan. And I said, I’m gonna debate this issue. What do you think the answer is, I don’t have to explain it to him, he knew exactly that Google works differently inside China, than it does here. And here is what he said—he said, Google had a choice between morality and money, and it chose money. That’s why Google is violating its ‘Don’t be evil’ motto. It’s a company that does many good works. It’s true that Google as a whole is not evil, I’ll grant that, but that’s not the question before us. If the question before us was, Google is evil, that’s what the question would be. That isn’t the question, the question is, does it violate what it claims not to do—not being evil. A good indicator that you’re doing something wrong is that the Congress hauls your executives, in front of them, and yells at you. And Congress has gotten into the habit of doing this several times. Most recently in May. Senator Richard Durbin confronted Google executives on this censorship question, and said, “When you’re asked to be complicit in restricting the flow of information, aren’t your hands a little dirty at the end of the day if you participate in that.” There is legislation under consideration, to prohibit exactly what Google is doing. Now to be sure, Google is in the business to make money, if it doesn’t sell advertising anywhere, then it’s not going to make money, but it’s making plenty of money. And it would have been such a statement, to the international world about the importance of, of information freedom. My friends, you are here tonight, because you value the robust debate of conflicting ideas. You value facts, you believe the truth is revealed, through this kind of debate and conflict. You should—you must vote for this proposition, if you support the idea that creating censorship tools is a form of evil. Finally, just let me close with one analogy. Suppose Google were not a search engine company, but a pharmaceutical company. And it was told by the Chinese government that it could sell aspirin in China, only if it also made certain forms of brainwashing drugs and thought control medications. And that was the condition on which it could sell aspirin in China. No responsible American company would make that deal with the Chinese authorities, and that is exactly what Google is doing in the digital realm. So, please vote for the motion, “Google Violates its ‘Don’t Do Evil’ Motto”, because they do.  Uh, not my daughter—"
against," Uh— So I was going to start by saying that I actually spend a fair amount of time with things I consider evil. And I mean that quite seriously, the old Soviet system, which, you still see some vestiges of, in Star City where I’m training. I travel a lot, I’ve seen many ways to be evil, I’ve examined governments, I’ve talked to people who… I’m on the board of the National Endowment for Democracy, and we give grants to dissidents, so, that informs my thinking, as does the fact that I was chairman of ICANN, which is the organization that sets policy for the Internet. We made a lot of mistakes, I don’t think we were evil but we probably came a lot closer to it than Google ever did, or will. But finally in terms of the disclosures you probably want to know, I’m on the board of 23andMe which was founded, cofounded by Sergey Brin’s wife. I’m on the board of WPP Group, which calls Google its frenemy, or its froe. They’re a large advertising conglomerate. And finally, I’m on the board of Yandex, which competes with Google in Russia where, Yandex has 60 percent market share and Google has approximately 20. So I kind of come at this from many different points of view. And, I believe that Google does not violate it’s “Don’t be evil” motto because I’ve seen it up close, I’ve also seen it from outside, I’ve seen it as a competitor, I’ve seen how they try to do things. And I am very glad to hear all this discussion of China because I’m going to blow it to bits in a few moments. But first I want to go through the few…the couple of arguments I wanted to talk about. The challenge of power, is great. The great virtue of the Internet is that it erodes power, it sucks power out of the center, and takes it to the periphery, it erodes the power of institutions over people, while giving to individuals the power to run their own lives. Google is part of that. It’s one of these things that shines light on everything, it enables people to find stuff out, it enables them to question what their governments are doing, and it’s absolutely wonderful. That doesn’t mean that power cannot be abused. The abuse of power is absolutely evil. Google to some extent understands this very well, that’s why they bothered to have this motto in the first place, they understand the danger of concentration of power, and they understand how important it is not to be evil, that’s why they have shareholder agreements that give them more power so that they don’t need to cater only to money-hungry investors but can also do what they think is right. There are three people who set policies there, it’s the two founders and Eric Schmidt. And they watch one another, they’re very careful not to abuse this “Don’t be evil” thing. Now, the power that Google has is primarily a good power though it could be used to do evil, it’s not like atom bombs. It’s not like guns…or even cigarettes, which when used correctly are destructive. The power of transparency, the power of knowledge, is fundamentally good, even though it can on occasion be used for bad. And so Google’s trust is to ensure that that power is used for good as much as possible. I have seen what they’re doing in China. And ladies and gentlemen, the reason they’re not violating their “Don’t be evil” policy is because they’re in there, and they’re engaged. Yes, they could abdicate, they could say we’re not gonna bother to go into China. But every time some Chinese person uses Google, and doesn’t get what he wants, he may notice, he may not even notice the absence, but he does know that he can go find out all the negative information on George Bush he wants. And at some point, he or she says, well, gee. If I can get—or whatever the Chinese version is—if I can get this bad information about George Bush why can’t I find out more about what’s going on in my own country. Google by its very presence and its operation, even if it’s incomplete, creates increasing expectations for transparency, it starts people answering questions. It gets them to expect to be able to find out stuff. And it knows that by doing that, people are going to start asking more questions. So I think Google was doing the right thing, by going into China. I don’t think they’re making that much money there, if they are that’s fine too. But the point of it is, they are engaging. I know another example, in which they’re getting engaged. They have a service, you’ve probably encountered it, where if you go to a website—if you get a search result that indicates a website that may have some malware on it, they warn you off. This is very expensive for them to do. They need to detect the sites with malware, they need to inform them that there’s malware. They have a dispute-resolution process, they’re not perfect, but again, they’re engaging where they didn’t need to. They could easily have just passed the query through. But they’re trying to make the world a better place, by doing something that requires them to make judgments. Sometimes they may incorrectly flag a site as having malware, sometimes, somebody has malware unintentionally, they need to deal with it. So the point here again is that rather than just being apathetic, as Jim said, they’re engaging, and trying to make the world a better place. So I believe, that they do not violate their motto and I think you should vote against the proposition. "
for," To my distinguished opponents, I see your Dr. Evil and your Dr. Pol Pot, and I raise you a pope and a poet. Specifically, Pope Gregory the Great, and the great poet Dante Alighieri. Because after all, one of the things we have to figure out here, is what do we mean by evil. Well Google encourages us to think algorithmically, after all it’s built everything that it has on algorithms. One of the simplest forms of algorithms, the if-then statement, or if you prefer, the checklist, Dante offers us such a checklist in The Divine Comedy. I know you know it, I know you know it with me, so say it along with me, the seven deadly sins, luxuria, gula, avaritia, acedia, ira, invidia, and superbia, right? Well, okay, you didn’t say it along with me. To walk through, I can show you that Google has at times committed every single one of these seven deadly sins. The first, luxuria, which translates as extravagance or lust. I spent a bit of time on the Google campus out in California…they get massages. Right, the people who work there get massages. That is, that is corporeal lust of the highest order. Or at least for a bunch of geeks about the best they’re gonna do. Um… Number two, gula or gluttony, the other thing about the Google campus is they get incredible food, all they can eat all day, no matter what they want, there is so much food that they never need to say no, that is the very definition of gluttony. Number three.  We’ve already heard from Randy about the greed embodied in the Google-Yahoo advertising deal…that is one of many examples of Google overreaching to corner a market, or completely undermine a market, in an effort to maximize its returns. Number four, acedia, sloth. Now I could talk about how lazy and self-satisfied Google was in its effort to roll out an on-line video service. The early days of Google Video were very much a matter of figuring they owned the video realm and they weren’t actually gonna do anything new or fantastic until these whippersnappers at YouTube came across with their Flash video platform, and basically ran around them to the point where they ended up having to buy that company just to keep pace. But there’s actually a better example of sloth and that is Google itself, its very nature, its very model of advertising is based on free-riding. Google makes money off of our work. We blog, we put our skate—our cats on skateboards and record them for videos. We do all of this work, and then Google harvests our work, runs all of this content through this computers, spits it back out at us, with almost no actual value added and what we end up getting is a tremendous amount of money, based on free-riding, the very definition of sloth. Wrath, ira, wrath. There are a number of high-profile cases of people who have been involved with Google through their Ad Sense program, through which they’ve agreed to place ads on their own blogs. I think Jeff is one of these people but not one who has suffered the wrath of Google. Many of these people have found their accounts shut down, their revenues stopped, for reasons that can never be explained, but they did something to violate Google’s policies. But they get no feedback and no response, and no justice. And then there are hundreds of small companies all around America, that have found their ranks decimated, their Google ranks decline significantly, because again, they tried to optimize their results, they were just doing what a company should do, trying to get more attention for themselves. And Google’s algorithms, its faceless, soulless algorithms came at them with wrath, another of the seven deadly sins.  Google has over the last few years engaged in a series of efforts to try to muscle in on the markets of other successful companies, Microsoft being the most prominent. Google has recently tried to push its suite of services that directly compete with Microsoft Office. Of course they have at various times threatened to muscle out eBay, muscle out PayPal, muscle out Amazon, in various ways. Number seven, the one I want to talk about the most, superbia, pride, or hubris. Now, let me remind you of the actual motto of the company, it’s not “Do no evil” or “Don’t be evil,” it’s actually, “To organize the world’s information to make it universally accessible.” What could be more hubristic than that. What could be more prideful than that. General Motors doesn’t say we’re gonna organize all the places in the country and make them universally accessible. General Motors says we’re gonna try to sell cars. Not that that’s the best example to use this week, I understand. Nonetheless, no company besides Google would ever come up with a motto or a mission statement like that, but let me tell you something that Sergey Brin, one of the founders of Google said a number of years ago, during an interview when someone asked him, what would the perfect search engine be like. And he said, without missing a beat, it would be like the mind of God. Ladies and gentlemen, that’s more than hubris, that’s blasphemy. Now the particular kind of hubris that energizes Google is of course, a sense of techno-fundamentalism. The notion that you can always invent something, to solve the problem that the last invention created. And that faith in technology, that technology can cover all of our sins and all of our faults and fix all of our problems, is again the ultimate hubris, it’s the hubris expressed in the myth of Pandora for instance, the myth of having too much knowledge. There are so many examples in human history in which techno-fundamentalism has led to great suffering. Not that Google is about to lead us to great suffering, but they’re still committing the sin of hubris. Now hubris is actually the most serious of the seven deadly sins. As Dante explains to us, it was the sin that Lucifer committed. Lucifer was a good guy. Lucifer fell, because he thought he could be as effective as God, as good as God, and thus, he became Satan. The very notion of the “Don’t be evil” motto, is itself hubristic, is itself, evil, because it is itself a violation of the seven deadly sins. One real-world example, let me finish with very quickly, Google Book Search. Google has been trying to scan in 36 million books from libraries around the world, in an effort to essentially corner the market on digital book access, for a number of years. Early on, four years ago when it started this project or got public with this project, it claimed that everything was cool as far as copyright was concerned. In other words, copyright only applies to mere mortals, not to superhuman supercompanies like Google. Well, it turns out Google wasn’t right about that, last month Google ended up having to settle, and wrote a check for $125 million to publishers and authors , because it turns out, they weren’t quite as on the ball about copyright as they thought. "
against,"And I guess in both full disclosure and a plug I should say I have a book coming out called, What Would Google Do?"
for,That’s blasphemy!
